title,subject,interal_id,url,id_number,description
Place value,2nd grade,x5bbdb185,https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value,cc-2nd-place-value,We will learn about the ones  tens  and hundreds place values and compare 3-digit numbers.
Addition and subtraction within 100,2nd grade,x8e913210,https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100,cc-2nd-add-subtract-100,Learn to add and subtract two-digit numbers within 100.
Addition and subtraction within 1000,2nd grade,x694cb622,https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000,cc-2nd-add-subtract-1000,Learn to add and subtract two- and three-digit numbers within 1000.
Measurement data and geometry,2nd grade,x4023aec3,https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data,cc-2nd-measurement-data,First  we will measure length using unit squares and rulers  compare and estimate length  and solve length word problems.  Next  we will read and make picture graphs  bar graphs  and line plots.  From there  we will tell time on analog clocks and count U.S. coins and dollars. After that  we will identify quadrilaterals  pentagons  hexagons  and octagons.  Finally  we will break shapes into equal parts.
Intro to multiplication,3rd grade,x8f26a99d8c8a8aa7,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-multiplication,intro-to-multiplication,
1-digit multiplication,3rd grade,x9ae6719f9187864e,https://www.khanacademy.org/math/cc-third-grade-math/3rd-basic-multiplication,3rd-basic-multiplication,
Addition subtraction and estimation,3rd grade,xc09fcb17c3dc1166,https://www.khanacademy.org/math/cc-third-grade-math/imp-addition-and-subtraction,imp-addition-and-subtraction,
Intro to division,3rd grade,x28227514254db9ab,https://www.khanacademy.org/math/cc-third-grade-math/intro-to-division,intro-to-division,
Understand fractions,3rd grade,x09f215195e706ff4,https://www.khanacademy.org/math/cc-third-grade-math/imp-fractions,imp-fractions,
Equivalent fractions and comparing fractions,3rd grade,xfbbc5c38cd9efe45,https://www.khanacademy.org/math/cc-third-grade-math/equivalent-fractions-and-comparing-fractions,equivalent-fractions-and-comparing-fractions,
More with multiplication and division,3rd grade,x16c952affcb38cf5,https://www.khanacademy.org/math/cc-third-grade-math/imp-multiplication-and-division,imp-multiplication-and-division,
Arithmetic patterns and problem solving,3rd grade,xed8af723df4fe064,https://www.khanacademy.org/math/cc-third-grade-math/arithmetic-patterns-and-problem-solving,arithmetic-patterns-and-problem-solving,
Quadrilaterals,3rd grade,x6048e2a14fd90a0c,https://www.khanacademy.org/math/cc-third-grade-math/quadrilaterals-3rd,quadrilaterals-3rd,
Area,3rd grade,x39665ac6c597b247,https://www.khanacademy.org/math/cc-third-grade-math/imp-geometry,imp-geometry,
Perimeter,3rd grade,xb5072b81340aa661,https://www.khanacademy.org/math/cc-third-grade-math/3rd-perimeter,3rd-perimeter,
Time,3rd grade,x044ec8419fb3e9e3,https://www.khanacademy.org/math/cc-third-grade-math/time,time,
Measurement,3rd grade,x639efb3744ddc090,https://www.khanacademy.org/math/cc-third-grade-math/imp-measurement-and-data,imp-measurement-and-data,
Represent and interpret data,3rd grade,x64de5f52c8283150,https://www.khanacademy.org/math/cc-third-grade-math/represent-and-interpret-data,represent-and-interpret-data,
Place value,4th grade,x2e769ecc206ef7d3,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-place-value-and-rounding-2,imp-place-value-and-rounding-2,
Addition subtraction and estimation,4th grade,x4febd3aef31e60fa,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-addition-and-subtraction-2,imp-addition-and-subtraction-2,
Multiply by 1-digit numbers,4th grade,xb1989190c0f4fecd,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-multiplication-and-division-2,imp-multiplication-and-division-2,
Multiply by 2-digit numbers,4th grade,x07642e154dcbce84,https://www.khanacademy.org/math/cc-fourth-grade-math/multiplying-by-2-digit-numbers,multiplying-by-2-digit-numbers,
Division,4th grade,x1ad1d91034b22aa9,https://www.khanacademy.org/math/cc-fourth-grade-math/division,division,
Factors multiples and patterns,4th grade,x78a4b34a9c701baa,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-factors-multiples-and-patterns,imp-factors-multiples-and-patterns,
Equivalent fractions and comparing fractions,4th grade,xe2dd268f0b6da159,https://www.khanacademy.org/math/cc-fourth-grade-math/comparing-fractions-and-equivalent-fractions,comparing-fractions-and-equivalent-fractions,
Add and subtract fractions,4th grade,xf79f1c4ccf03859a,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-fractions-2,imp-fractions-2,
Multiply fractions,4th grade,xf1742dd908ad95bb,https://www.khanacademy.org/math/cc-fourth-grade-math/4th-multiply-fractions,4th-multiply-fractions,
Understand decimals,4th grade,x64dfa339e6a2a01a,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-decimals,imp-decimals,
Plane figures,4th grade,xc6c4f75ef3941c1e,https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures,plane-figures,
Measuring angles,4th grade,x3d7033fa7fcee32a,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-geometry-2,imp-geometry-2,
Area and perimeter,4th grade,xd71e72e103d6d7f3,https://www.khanacademy.org/math/cc-fourth-grade-math/area-perimeter,area-perimeter,
Units of measurement,4th grade,x99ee046cc1e8cac7,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2,imp-measurement-and-data-2,
Decimal place value,5th grade,x3352c53c9d44393a,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-place-value-and-decimals,imp-place-value-and-decimals,
Add decimals,5th grade,xd6b59354eae23131,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-addition-and-subtraction-3,imp-addition-and-subtraction-3,
Subtract decimals,5th grade,x926167d2b9a10c25,https://api.khanacademy.org/math/cc-fifth-grade-math/subtract-decimals,subtract-decimals,
Add and subtract fractions,5th grade,x628adebe7726a7f9,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-fractions-3,imp-fractions-3,
Multi-digit multiplication and division,5th grade,x135b013a7369cdbe,https://api.khanacademy.org/math/cc-fifth-grade-math/multi-digit-multiplication-and-division,multi-digit-multiplication-and-division,
Multiply fractions,5th grade,x470ebc97c1b5374f,https://api.khanacademy.org/math/cc-fifth-grade-math/5th-multiply-fractions,5th-multiply-fractions,
Divide fractions,5th grade,xaa5594d535a0a85b,https://api.khanacademy.org/math/cc-fifth-grade-math/divide-fractions,divide-fractions,
Multiply decimals,5th grade,xfc2fd5ea6fc84684,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-multiplication-and-division-3,imp-multiplication-and-division-3,
Divide decimals,5th grade,x07c8b6456e9c1c75,https://api.khanacademy.org/math/cc-fifth-grade-math/divide-decimals,divide-decimals,
Powers of ten,5th grade,x6fd693407b7c7590,https://api.khanacademy.org/math/cc-fifth-grade-math/powers-of-ten,powers-of-ten,
Volume,5th grade,x494de4cd016e2847,https://api.khanacademy.org/math/cc-fifth-grade-math/5th-volume,5th-volume,
Coordinate plane,5th grade,xfdd13d8b6ab193b1,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-geometry-3,imp-geometry-3,
Algebraic thinking,5th grade,xb57c1e66dbfcf814,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-algebraic-thinking,imp-algebraic-thinking,
Converting units of measure,5th grade,x089f5910b6891a89,https://api.khanacademy.org/math/cc-fifth-grade-math/imp-measurement-and-data-3,imp-measurement-and-data-3,
Line plots,5th grade,x74347b2dc32a2bb6,https://api.khanacademy.org/math/cc-fifth-grade-math/line-plots,line-plots,
Properties of shapes,5th grade,x72cf2593cc6c03eb,https://api.khanacademy.org/math/cc-fifth-grade-math/properties-of-shapes,properties-of-shapes,
Ratios rates & percentages,6th grade,x22eef7de,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-ratios-prop-topic,cc-6th-ratios-prop-topic,Ratios  rates  and percentages are some of the most useful math concepts in real life (and what is REAL life anyway  huh?). From baking recipes to sports  these concepts wiggle their way into our lives on a daily basis.
Arithmetic operations,6th grade,xf5815416,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-arithmetic-operations,cc-6th-arithmetic-operations,The most fundamental branch of math is arithmetic operations. It consists of adding  subtracting  multiplying  and dividing numbers. We're willing to bet that doing these operations on whole numbers is a piece of cake  but now we'll mix those numbers up with decimals and fractions. We'll also introduce the idea exponents as they become much more important moving forward. So sharpen that pencil and relax in your chair  we're going for a ride!
Negative numbers,6th grade,x347111cf,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-negative-number-topic,cc-6th-negative-number-topic,Negative numbers are a necessary part of our understanding of mathematics and the world. The idea of anything "negative" is often seen as "bad." Negative numbers are not only good  but they're fun! Walk through this tutorial with us and we'll show you how they are defined  interpreted  and applied. Absolute value is a type of negative number that is expressed as a positive. Confused? Don't be. We got your back.
Properties of numbers,6th grade,x673b532f,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-factors-and-multiples,cc-6th-factors-and-multiples,Learn how to find the least common multiple (LCM) and greatest common factor (GCF).
Variables & expressions,6th grade,x8ade30f9,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables,cc-6th-expressions-and-variables,Learn what variables are and practice using them in expressions. The major concepts covered in these tutorials are substitution  the distributive property  and combining like terms.
Equations & inequalities introduction,6th grade,x98e0520f,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities,cc-6th-equations-and-inequalities,Learn about equations and inequalities that have variables in them. These tutorials focus on solving equations and understanding solutions to inequalities.
Geometry,6th grade,xfa626edb,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic,cc-6th-geometry-topic,Learn how to find the area  volume  and surface area of all sorts of geometric shapes. Also work with shapes on the coordinate plane.
Data and statistics,6th grade,x419abcbd,https://api.khanacademy.org/math/cc-sixth-grade-math/cc-6th-data-statistics,cc-6th-data-statistics,In statistics  we try to make sense of the world by collecting  organizing  analyzing  and presenting large amounts of data. For example  you may survey your friends about what tv show is most popular  but the small sample size will not give you an accurate idea of what ALL 6th graders like to watch. To do this you must survey a cross section of students from all around the country and all backgrounds. The data can then be statistically analyzed to give a more accurate picture of what tv show is most popular. So let's dive into a discussion of statistics  including box and whisker plots  bar charts  pictographs  line graphs  and dot plots.
Negative numbers addition and subtraction,7th grade,x7ef05b40,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-add-and-subtract,cc-7th-negative-numbers-add-and-subtract,Add and subtract negative numbers  and see how absolute value can be used to find the distance between any two numbers on the number line.
Negative numbers multiplication and division,7th grade,x4ddd8846,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-multiply-and-divide,cc-7th-negative-numbers-multiply-and-divide,Learn to multiply and divide negative numbers. Once you've got the basics down  we'll revisit fractions  exponents  and order of operations but this time with negatives!
Fractions decimals & percentages,7th grade,xbee72d33,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-fractions-decimals,cc-7th-fractions-decimals,In these tutorials  we'll explore the number system. We'll convert fractions to decimals  operate on numbers in different forms  meet complex fractions  and identify types of numbers. We'll also solve interesting word problems involving percentages (discounts  taxes  and tip calculations).
Rates & proportional relationships,7th grade,x805b3a5e,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-ratio-proportion,cc-7th-ratio-proportion,Learn all about proportional relationships. How are they connected to ratios and rates? What do their graphs look like? What types of word problems can we solve with proportions?
Expressions equations & inequalities,7th grade,x0a8c9f98,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-variables-expressions,cc-7th-variables-expressions,Bring on the algebra! Learn how to manipulate expressions and solve equations and inequalities.
Geometry,7th grade,xc1a4d524,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-geometry,cc-7th-geometry,Geometric shapes are all around us. The world is built with them. In this series of tutorials and exercises you'll become familiar with Euclidean geometry and terms like segments  scale drawings  parts of a circle  area  volume  angles  and geometric figures.
Statistics and probability,7th grade,x657459cb,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-probability-statistics,cc-7th-probability-statistics,This introduction to probability and statistics explores probability models  sample spaces  compound events  random samples  and a whole lot more.
Numbers and operations,8th grade,x1afd9461,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-numbers-operations,cc-8th-numbers-operations,Math is all about numbers (like 89 and 3.14) and operations (like addition and multiplication). In these tutorials  we learn about a some new types of numbers and some new types of operations.
Solving equations with one unknown,8th grade,xdffae55c,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-solving-equations,cc-8th-solving-equations,Learn how to solve more complicated  multi-step equations like 4x + 5 = 6x -7.
Linear equations and functions,8th grade,xc44ef069,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions,cc-8th-linear-equations-functions,Linear equations like y = 2x + 7 are called "linear" because they make a straight line when we graph them. These tutorials introduce you to linear relationships  their graphs  and functions.
Systems of equations,8th grade,x71149dce,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-systems-topic,cc-8th-systems-topic,A "system of equations" is when we're dealing with more than one equation at the same time. These tutorials show you how to set up and solve systems of equations.
Geometry,8th grade,x7306f126,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry,cc-8th-geometry,In this topic  we will learn about special angles  such as angles between intersecting lines and triangle angles.  Next  we will learn about the Pythagorean theorem.  We will find volume of 3D shapes like spheres  cones  and cylinders.  Finally  we will learn about translations  rotations  reflections  and congruence and similarity.
Geometric transformations,8th grade,xc8775c02c8a5d124,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations,geometric-transformations,In this topic you will learn how to perform the transformations  specifically translations  rotations  reflections  and dilations and how to map one figure into another using these transformations.
Data and modeling,8th grade,xe83906b3,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data,cc-8th-data,In this topic  we will learn about scatter plots  lines of best fit  and two-way tables.
Addition and subtraction,Arithmetic,x352f9bcb,https://www.khanacademy.org/math/arithmetic/arith-review-add-subtract,arith-review-add-subtract,In this topic  we will add and subtract whole numbers. The topic starts with 1+1=2 and goes through adding and subtracting within 1000.  We will cover regrouping  borrowing  and word problems.
Multiplication and division,Arithmetic,x85580c81,https://www.khanacademy.org/math/arithmetic/arith-review-multiply-divide,arith-review-multiply-divide,In this topic  we will multiply and divide whole numbers. The topic starts with 1-digit multiplication and division and goes through multi-digit problems.  We will cover regrouping  remainders  and word problems.
Negative numbers,Arithmetic,x518bed67,https://www.khanacademy.org/math/arithmetic/arith-review-negative-numbers,arith-review-negative-numbers,Learn about numbers below 0 and how they relate to positive numbers.  Add  subtract  multiply and divide negative numbers.
Fractions,Arithmetic,x4e0ba0da,https://www.khanacademy.org/math/arithmetic/fraction-arithmetic,fraction-arithmetic,In this topic  we will explore fractions conceptually and add  subtract  multiply  and divide fractions.
Decimals,Arithmetic,xa869475e,https://www.khanacademy.org/math/arithmetic/arith-decimals,arith-decimals,In this topic  we will learn what a decimal is and how to show it visually and on a number line.  We will also add  subtract  multiply  and divide with decimals.
Lines,Basic geometry,x5b855a1e,https://www.khanacademy.org/math/basic-geo/basic-geo-lines,basic-geo-lines,Learn what lines  line segments  and rays are and how to use them.
Angles,Basic geometry,x67cb5d9c,https://www.khanacademy.org/math/basic-geo/basic-geo-angle,basic-geo-angle,In this topic  we will learn what an angle is and how to label  measure and construct them.  We will also explore special types of angles.
Shapes,Basic geometry,x198798e5,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes,basic-geometry-shapes,Classify shapes and solve problems using what we know of the properties of shapes.
Coordinate plane,Basic geometry,x0b42b472,https://www.khanacademy.org/math/basic-geo/basic-geo-coord-plane,basic-geo-coord-plane,We use coordinates to describe where something is. In geometry  coordinates say where points are on a grid we call the "coordinate plane".
Area and perimeter,Basic geometry,x073aa5c2,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter,basic-geo-area-and-perimeter,Area and perimeter help us measure the size of 2D shapes. We’ll start with the area and perimeter of rectangles. From there  we’ll tackle trickier shapes  such as triangles and circles.
Volume and surface area,Basic geometry,x96bca81f,https://www.khanacademy.org/math/basic-geo/basic-geo-volume-sa,basic-geo-volume-sa,Volume and surface area help us measure the size of 3D objects. We’ll start with the volume and surface area of rectangular prisms. From there  we’ll tackle trickier objects  such as cones and spheres.
Pythagorean theorem,Basic geometry,xa9c7d564,https://www.khanacademy.org/math/basic-geo/basic-geometry-pythagorean-theorem,basic-geometry-pythagorean-theorem,The Pythagorean theorem describes a special relationship between the sides of a right triangle. Even the ancients knew of this relationship. In this topic  we’ll figure out how to use the Pythagorean theorem and prove why it works.
Transformations congruence and similarity,Basic geometry,xbc33bb33,https://www.khanacademy.org/math/basic-geo/basic-geo-transformations-congruence,basic-geo-transformations-congruence,Learn about geometric transformations and how they're used to understand the meaning of "similar" and "congruent".
Lines,Basic geometry,x5b855a1e,https://www.khanacademy.org/math/basic-geo/basic-geo-lines,basic-geo-lines,Learn what lines  line segments  and rays are and how to use them.
Angles,Basic geometry,x67cb5d9c,https://www.khanacademy.org/math/basic-geo/basic-geo-angle,basic-geo-angle,In this topic  we will learn what an angle is and how to label  measure and construct them.  We will also explore special types of angles.
Shapes,Basic geometry,x198798e5,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes,basic-geometry-shapes,Classify shapes and solve problems using what we know of the properties of shapes.
Coordinate plane,Basic geometry,x0b42b472,https://www.khanacademy.org/math/basic-geo/basic-geo-coord-plane,basic-geo-coord-plane,We use coordinates to describe where something is. In geometry  coordinates say where points are on a grid we call the "coordinate plane".
Area and perimeter,Basic geometry,x073aa5c2,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter,basic-geo-area-and-perimeter,Area and perimeter help us measure the size of 2D shapes. We’ll start with the area and perimeter of rectangles. From there  we’ll tackle trickier shapes  such as triangles and circles.
Volume and surface area,Basic geometry,x96bca81f,https://www.khanacademy.org/math/basic-geo/basic-geo-volume-sa,basic-geo-volume-sa,Volume and surface area help us measure the size of 3D objects. We’ll start with the volume and surface area of rectangular prisms. From there  we’ll tackle trickier objects  such as cones and spheres.
Pythagorean theorem,Basic geometry,xa9c7d564,https://www.khanacademy.org/math/basic-geo/basic-geometry-pythagorean-theorem,basic-geometry-pythagorean-theorem,The Pythagorean theorem describes a special relationship between the sides of a right triangle. Even the ancients knew of this relationship. In this topic  we’ll figure out how to use the Pythagorean theorem and prove why it works.
Transformations congruence and similarity,Basic geometry,xbc33bb33,https://www.khanacademy.org/math/basic-geo/basic-geo-transformations-congruence,basic-geo-transformations-congruence,Learn about geometric transformations and how they're used to understand the meaning of "similar" and "congruent".
Arithmetic properties,Pre-algebra,x16b067c9,https://www.khanacademy.org/math/pre-algebra/pre-algebra-arith-prop,pre-algebra-arith-prop,This tutorial will help us make sure we can go deep on arithmetic. We'll explore various ways to represent whole numbers  place value  order of operations  rounding and various other properties of arithmetic.
Factors and multiples,Pre-algebra,xa9d6fdff,https://www.khanacademy.org/math/pre-algebra/pre-algebra-factors-multiples,pre-algebra-factors-multiples,Understanding and finding factors and multiples. After these videos  you'll be ready for fractions.
Reading and interpreting data,Pre-algebra,x1f72b5ec,https://www.khanacademy.org/math/pre-algebra/pre-algebra-math-reasoning,pre-algebra-math-reasoning,This topic is less about statistics and more about interpreting data--whether it is presented as a table  pictograph  bar graph or line graph.  Good for someone new to these ideas.  For a student in high school or college looking to learn statistics  it might make sense to skip (although it might not hurt either).
Measurement,Pre-algebra,xcaacb86d,https://www.khanacademy.org/math/pre-algebra/pre-algebra-measurement,pre-algebra-measurement,From length to area to volume to time  thinking about how we measure things.
Fractions,Pre-algebra,x1d64bc3f,https://www.khanacademy.org/math/pre-algebra/pre-algebra-fractions,pre-algebra-fractions,Understanding fractions conceptually  using operations with fractions  and converting fractions.
Decimals,Pre-algebra,xcd755b70,https://www.khanacademy.org/math/pre-algebra/pre-algebra-decimals,pre-algebra-decimals,Understanding decimals conceptually  using operations with decimals  rounding and estimating with decimals  and converting decimals.
Negative numbers and coordinate plane,Pre-algebra,x4ba15d90,https://www.khanacademy.org/math/pre-algebra/pre-algebra-negative-numbers,pre-algebra-negative-numbers,Extending our understanding of numbers below 0.  Thinking about "absolute" distance from 0.  We will also look at all 4 quadrants on the coordinate plane.
Ratios rates proportions,Pre-algebra,x17923675,https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates,pre-algebra-ratios-rates,Learn all about proportional relationships. How are they connected to ratios and rates? What do their graphs look like? What types of word problems can we solve with proportions?
Equations expressions and inequalities,Pre-algebra,x04908aa2,https://www.khanacademy.org/math/pre-algebra/pre-algebra-equations-expressions,pre-algebra-equations-expressions,In this topic  we will look at 1- and 2-step equations  as well as expressions and inequalities.
Exponents radicals and scientific notation,Pre-algebra,x2251cb4b,https://www.khanacademy.org/math/pre-algebra/pre-algebra-exponents-radicals,pre-algebra-exponents-radicals,Understanding and solving exponents  radicals  and scientific notation without algebra.
Foundations,Algebra basics,xbe49b507,https://www.khanacademy.org/math/algebra-basics/basic-alg-foundations,basic-alg-foundations,This topic isn't algebra  but it is a survey of all of the most important pre-algebra skills you need to really digest algebra.  These skills also tend to be pretty important in life in general!
Algebraic expressions,Algebra basics,x93c46285,https://www.khanacademy.org/math/algebra-basics/alg-basics-algebraic-expressions,alg-basics-algebraic-expressions,The core idea in algebra is using letters to represent relationships between numbers without specifying what those numbers are!
Linear equations and inequalities,Algebra basics,x649777e8,https://www.khanacademy.org/math/algebra-basics/alg-basics-linear-equations-and-inequalities,alg-basics-linear-equations-and-inequalities,We will now equate two algebraic expressions and think about how it might constrain what value the variables can take on.  The algebraic manipulation you learn here really is the heart of algebra.
Graphing lines and slope,Algebra basics,x1df8fb3e,https://www.khanacademy.org/math/algebra-basics/alg-basics-graphing-lines-and-slope,alg-basics-graphing-lines-and-slope,Use the power of algebra to understand and interpret points and lines (something we typically do in geometry).  This will include slope and the equation of a line.
Systems of equations,Algebra basics,x17e6e850,https://www.khanacademy.org/math/algebra-basics/alg-basics-systems-of-equations,alg-basics-systems-of-equations,Solving a system of equations or inequalities in two variables by elimination  substitution  and graphing.
Expressions with exponents,Algebra basics,x25c03557,https://www.khanacademy.org/math/algebra-basics/alg-basics-expressions-with-exponents,alg-basics-expressions-with-exponents,Let's build our toolkit that allow us to manipulate exponents algebraically.
Quadratics and polynomials,Algebra basics,x95928316,https://www.khanacademy.org/math/algebra-basics/alg-basics-quadratics-and-polynomials,alg-basics-quadratics-and-polynomials,We'll now progress beyond the world of purely linear expressions and equations and enter the world of quadratics (and more generally polynomials).  Learn to factor expressions that have powers of 2 in them and solve quadratic equations.  We'll also learn to manipulate more general polynomial expressions.
Equations and geometry,Algebra basics,x305b9738,https://www.khanacademy.org/math/algebra-basics/alg-basics-equations-and-geometry,alg-basics-equations-and-geometry,See how algebra can be useful when solving geometrical problems.
Algebra foundations,Algebra I,x9c23cad6d9661edd,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:foundation-algebra,x2f8bb11595b61c86:foundation-algebra,This unit is an overview of some fundamental ideas and tools we'll be using throughout algebra.
Solving equations & inequalities,Algebra I,xe7dfb15f5edad6c9,https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:solve-equations-inequalities,x2f8bb11595b61c86:solve-equations-inequalities,In this unit  we learn how to solve linear equations and inequalities that contain a single variable. For example  we'll solve equations like 2(x+3)=(4x-1)/2+7 and inequalities like 5x-2≥2(x-1).
